timestamp,filename,steering_angle
2025-06-21_12-23-27-796709,2025-06-21_12-23-27-794790.png,0
2025-06-21_12-23-27-803872,2025-06-21_12-23-27-801873.png,0
2025-06-21_12-23-27-812018,2025-06-21_12-23-27-810017.png,0
2025-06-21_12-23-27-829974,2025-06-21_12-23-27-826979.png,0
2025-06-21_12-23-27-845074,2025-06-21_12-23-27-843570.png,0
2025-06-21_12-23-27-853092,2025-06-21_12-23-27-852079.png,0
2025-06-21_12-23-27-870434,2025-06-21_12-23-27-868428.png,0
2025-06-21_12-23-27-878973,2025-06-21_12-23-27-876952.png,0
2025-06-21_12-23-27-888007,2025-06-21_12-23-27-886023.png,0
2025-06-21_12-23-27-894753,2025-06-21_12-23-27-893010.png,0
2025-06-21_12-23-27-914595,2025-06-21_12-23-27-912635.png,0
2025-06-21_12-23-27-925864,2025-06-21_12-23-27-923354.png,0
2025-06-21_12-23-27-965921,2025-06-21_12-23-27-964819.png,0
2025-06-21_12-23-28-009111,2025-06-21_12-23-28-005010.png,0
2025-06-21_12-23-28-028939,2025-06-21_12-23-28-017420.png,0
2025-06-21_12-23-28-045870,2025-06-21_12-23-28-044360.png,0
2025-06-21_12-23-28-058981,2025-06-21_12-23-28-055068.png,0
2025-06-21_12-23-28-066756,2025-06-21_12-23-28-065755.png,0
2025-06-21_12-23-28-084913,2025-06-21_12-23-28-083000.png,0
2025-06-21_12-23-28-092800,2025-06-21_12-23-28-089809.png,0
2025-06-21_12-23-28-098959,2025-06-21_12-23-28-096964.png,0
2025-06-21_12-23-28-106714,2025-06-21_12-23-28-103167.png,0
2025-06-21_12-23-28-123554,2025-06-21_12-23-28-120570.png,0
2025-06-21_12-23-28-141974,2025-06-21_12-23-28-128746.png,0
2025-06-21_12-23-28-151360,2025-06-21_12-23-28-149241.png,0
2025-06-21_12-23-28-168623,2025-06-21_12-23-28-166012.png,0
2025-06-21_12-23-28-177728,2025-06-21_12-23-28-175730.png,0
2025-06-21_12-23-28-187132,2025-06-21_12-23-28-186131.png,0
2025-06-21_12-23-28-209373,2025-06-21_12-23-28-205367.png,0
2025-06-21_12-23-28-219336,2025-06-21_12-23-28-217348.png,0
2025-06-21_12-23-28-228089,2025-06-21_12-23-28-226137.png,0
2025-06-21_12-23-28-270231,2025-06-21_12-23-28-268985.png,0
2025-06-21_12-23-28-310783,2025-06-21_12-23-28-308728.png,0
2025-06-21_12-23-28-321261,2025-06-21_12-23-28-319254.png,0
2025-06-21_12-23-28-329401,2025-06-21_12-23-28-327396.png,0
2025-06-21_12-23-28-335974,2025-06-21_12-23-28-333465.png,0
2025-06-21_12-23-28-352009,2025-06-21_12-23-28-350010.png,0
2025-06-21_12-23-28-359572,2025-06-21_12-23-28-355551.png,0
2025-06-21_12-23-28-368417,2025-06-21_12-23-28-365785.png,0
2025-06-21_12-23-28-377908,2025-06-21_12-23-28-375694.png,0
2025-06-21_12-23-28-393537,2025-06-21_12-23-28-391505.png,0
2025-06-21_12-23-28-402107,2025-06-21_12-23-28-400197.png,0
2025-06-21_12-23-28-410711,2025-06-21_12-23-28-408639.png,0
2025-06-21_12-23-28-415135,2025-06-21_12-23-28-413729.png,0
2025-06-21_12-23-28-432240,2025-06-21_12-23-28-431241.png,0
2025-06-21_12-23-28-440124,2025-06-21_12-23-28-437118.png,0
2025-06-21_12-23-28-458811,2025-06-21_12-23-28-445453.png,0
2025-06-21_12-23-28-476043,2025-06-21_12-23-28-473533.png,0
2025-06-21_12-23-28-483121,2025-06-21_12-23-28-481129.png,0
2025-06-21_12-23-28-494829,2025-06-21_12-23-28-492811.png,0
2025-06-21_12-23-28-511881,2025-06-21_12-23-28-510811.png,0
2025-06-21_12-23-28-523097,2025-06-21_12-23-28-521130.png,0
2025-06-21_12-23-28-544906,2025-06-21_12-23-28-532619.png,0
2025-06-21_12-23-28-596677,2025-06-21_12-23-28-593113.png,0
2025-06-21_12-23-28-637820,2025-06-21_12-23-28-635802.png,0
2025-06-21_12-23-28-647325,2025-06-21_12-23-28-646322.png,0
2025-06-21_12-23-28-659815,2025-06-21_12-23-28-658816.png,0
2025-06-21_12-23-28-677478,2025-06-21_12-23-28-674964.png,0
2025-06-21_12-23-28-687068,2025-06-21_12-23-28-685061.png,0
2025-06-21_12-23-28-695627,2025-06-21_12-23-28-693111.png,0
2025-06-21_12-23-28-703128,2025-06-21_12-23-28-702242.png,0
2025-06-21_12-23-28-721295,2025-06-21_12-23-28-719297.png,0
2025-06-21_12-23-28-728982,2025-06-21_12-23-28-726969.png,0
2025-06-21_12-23-28-737393,2025-06-21_12-23-28-735379.png,0
2025-06-21_12-23-28-745655,2025-06-21_12-23-28-744648.png,0
2025-06-21_12-23-28-763899,2025-06-21_12-23-28-761892.png,0
2025-06-21_12-23-28-789925,2025-06-21_12-23-28-777617.png,0
2025-06-21_12-23-28-807872,2025-06-21_12-23-28-804859.png,0
2025-06-21_12-23-28-820129,2025-06-21_12-23-28-818043.png,0
2025-06-21_12-23-28-831650,2025-06-21_12-23-28-829736.png,0
2025-06-21_12-23-28-848723,2025-06-21_12-23-28-846646.png,0
2025-06-21_12-23-28-886758,2025-06-21_12-23-28-884682.png,0
2025-06-21_12-23-28-926161,2025-06-21_12-23-28-922653.png,0
2025-06-21_12-23-28-940409,2025-06-21_12-23-28-937398.png,0
2025-06-21_12-23-28-951042,2025-06-21_12-23-28-949148.png,0
2025-06-21_12-23-28-967217,2025-06-21_12-23-28-966205.png,0
2025-06-21_12-23-28-982021,2025-06-21_12-23-28-980089.png,0
2025-06-21_12-23-28-994996,2025-06-21_12-23-28-992918.png,0
2025-06-21_12-23-29-010353,2025-06-21_12-23-29-008451.png,0
2025-06-21_12-23-29-019663,2025-06-21_12-23-29-017536.png,0
2025-06-21_12-23-29-027143,2025-06-21_12-23-29-026137.png,0
2025-06-21_12-23-29-036738,2025-06-21_12-23-29-034829.png,0
2025-06-21_12-23-29-051913,2025-06-21_12-23-29-049860.png,0
